收费门架编号,门架名称,门架类型,门架种类,省界入/出口标识,纬度,经度,使用状态,门架HEX字符串,反向门架HEX字符串
G000237001000120010,乐陵北-京沪鲁冀门架,省界收费门架,实体门架,省界出口,37.840596,117.105801,在用,3F5401,3E540B
G000237001000120020,乐陵北-京沪鲁冀门架,省界收费门架,实体门架,省界出口,37.8229,117.102805,在用,3F5401,3E540B
G000237001000220030,乐陵西-乐陵北门架,路段收费门架,实体门架,,37.720278,117.108361,在用,3D5403,3C5409
G000237001000320040,济乐滨德立交-乐陵西门架,路段收费门架,实体门架,,37.687673,117.10137,备用,3D5404,3C5408
G000237001000420050,乐陵南-济乐滨德立交门架,路段收费门架,实体门架,,37.536557,117.120294,备用,3D5405,3C5407
G000237001000610010,乐陵南-商河门架,路段收费门架,实体门架,,37.282058,117.084697,在用,3C5406,3D540C
G000237001000710060,济乐滨德立交-乐陵南门架,路段收费门架,实体门架,,37.538518,117.120042,备用,3C5407,3D5405
G000237001000810070,乐陵西-济乐滨德立交门架,路段收费门架,实体门架,,37.688564,117.101207,在用,3C5408,3D5404
G000237001000910080,乐陵北-乐陵西门架,路段收费门架,实体门架,,37.721003,117.108357,在用,3C5409,3D5403
G000237001001010090,京沪鲁冀-乐陵北门架,省界收费门架,实体门架,省界入口,37.826078,117.103148,在用,3E540B,3F5401
G000237001001010100,京沪鲁冀-乐陵北门架,省界收费门架,实体门架,省界入口,37.830347,117.103876,在用,3E540B,3F5401
G000237001001110010,乐陵南-乐陵南虚收费门架,路段收费门架,虚拟门架,,37.51888971,117.1289486,在用,3C5703,3D5702
G000237004003320010,蟠龙虚-蟠龙收费门架,路段收费门架,虚拟门架,,36.62805222,117.2236755,在用,3D1523,3C1524
G000237004003410010,彩石-彩石虚收费门架,路段收费门架,虚拟门架,,36.61566508,117.329523,在用,3C1526,3D1525
G000237004003420010,彩石虚-彩石收费门架,路段收费门架,虚拟门架,,36.61578399,117.3295218,在用,3D1525,3C1526
G000237004003510010,曹范-曹范虚收费门架,路段收费门架,虚拟门架,,36.635886,117.377523,停用,3C1528,3D1527
G000237004003520010,曹范虚-曹范收费门架,路段收费门架,虚拟门架,,36.635886,117.377523,停用,3D1527,3C1528
G000237004003610010,埠村-埠村虚收费门架,路段收费门架,虚拟门架,,36.60121638,117.4771228,在用,3C152A,3D1529
G000237004003620010,埠村虚-埠村收费门架,路段收费门架,虚拟门架,,36.60136082,117.4771277,在用,3D1529,3C152A
G000237004003710010,雪野-雪野虚收费门架,路段收费门架,虚拟门架,,36.45423296,117.530718,在用,3C152B,3D1522
G000237004003720010,雪野虚-雪野收费门架,路段收费门架,虚拟门架,,36.45408002,117.5309899,在用,3D1522,3C152B
G000237001001120010,乐陵南虚-乐陵南收费门架,路段收费门架,虚拟门架,,37.51876037,117.1289315,在用,3D5702,3C5703
G000237001001210010,乐陵西-乐陵西虚收费门架,路段收费门架,虚拟门架,,37.70619428,117.1089522,在用,3C5705,3D5704
G000237001001220010,乐陵西虚-乐陵西收费门架,路段收费门架,虚拟门架,,37.70603131,117.1090853,在用,3D5704,3C5705
G000237001001310010,乐陵北-乐陵北虚收费门架,路段收费门架,虚拟门架,,37.81334855,117.1040965,在用,3C5701,3D5706
G000237001001320010,乐陵北虚-乐陵北收费门架,路段收费门架,虚拟门架,,37.81340273,117.1038512,在用,3D5706,3C5701
G000237002000120020,商河-乐陵南门架,路段收费门架,实体门架,,37.281275,117.085025,在用,3D540C,3C5406
G000237002000220010,临邑-商河门架,路段收费门架,实体门架,,37.166624,117.044478,在用,3D540D,3C540E
G000237002000310020,商河-临邑门架,路段收费门架,实体门架,,37.167215,117.044491,在用,3C540E,3D540D
G000237002000510010,商河-商河虚收费门架,路段收费门架,虚拟门架,,37.26797374,117.0910984,在用,3C5602,3D5601
G000237002000520010,商河虚-商河收费门架,路段收费门架,虚拟门架,,37.26801298,117.0913493,在用,3D5601,3C5602
G000237003000510010,临邑-临邑虚收费门架,路段收费门架,虚拟门架,,37.15197941,117.0304754,在用,3C5502,3D5501
G000237003000520010,临邑虚-临邑收费门架,路段收费门架,虚拟门架,,37.1520956,117.0306783,在用,3D5501,3C5502
G000237004000110010,港沟-港沟枢纽门架,路段收费门架,虚拟门架,,36.62974205,117.1761301,在用,3C1501,3D151D
G000237004000220010,港沟枢纽-港沟门架,路段收费门架,虚拟门架,,36.62987423,117.1762863,在用,3D151D,3C1501
G000237004000520160,蟠龙-港沟枢纽门架,路段收费门架,实体门架,,36.626055,117.216705,在用,3D151C,3C150F
G000237004000610010,港沟枢纽-蟠龙门架,路段收费门架,实体门架,,36.625216,117.184179,在用,3C150F,3D151C
G000237004000710030,彩石-曹范门架,路段收费门架,实体门架,,36.61186,117.374597,在用,3C1510,3D151B
G000237004000820140,曹范-彩石门架,路段收费门架,实体门架,,36.613287,117.361919,在用,3D151B,3C1510
G000237004000910040,曹范-埠村门架,路段收费门架,实体门架,,36.60126,117.451259,在用,3C1511,3D151A
G000237004001020130,埠村-曹范门架,路段收费门架,实体门架,,36.601229,117.4162,在用,3D151A,3C1511
G000237004001110050,埠村-雪野门架,路段收费门架,实体门架,,36.466491,117.531778,备用,3C1530,3D1520
G000237004001220120,雪野-埠村门架,路段收费门架,实体门架,,36.587157,117.494168,在用,3D1520,3C1530
G000237004001310060,雪野-莱芜北门架,路段收费门架,实体门架,,36.314069,117.644691,在用,3C1513,3D1518
G000237004001420110,莱芜北-雪野门架,路段收费门架,实体门架,,36.440687,117.538994,在用,3D1518,3C1513
G000237004001510070,莱芜北-莱芜高新门架,路段收费门架,实体门架,,36.262383,117.710722,在用,3C1514,3D1517
G000237004001620100,莱芜高新-莱芜北门架,路段收费门架,实体门架,,36.294122,117.663364,在用,3D1517,3C1514
G000237004001710080,莱芜高新-莱芜枢纽门架,路段收费门架,实体门架,,36.25504,117.733438,备用,3C1515,3D1516
G000237004001820090,莱芜枢纽-莱芜高新门架,路段收费门架,实体门架,,36.254791,117.738015,备用,3D1516,3C1515
G000237004002310020,蟠龙-彩石门架,路段收费门架,实体门架,,36.613704,117.315694,在用,3C151E,3D151F
G000237004002620150,彩石-蟠龙门架,路段收费门架,实体门架,,36.617943,117.26782,在用,3D151F,3C151E
G000237004003310010,蟠龙-蟠龙虚收费门架,路段收费门架,虚拟门架,,36.6281144,117.2236791,在用,3C1524,3D1523
G000237010001420010,市中虚-市中收费门架,路段收费门架,虚拟门架,,36.566111,116.926586,在用,3D1C0D,3C1C0E
G000237011000120050,济阳北-临邑门架,路段收费门架,实体门架,,37.074275,117.036946,在用,3D540F,3C5416
G000237011000220060,济阳西-济阳北门架,路段收费门架,实体门架,,36.986651,117.05784,在用,3D5410,3C5415
G000237011000320070,济乐济东立交-济阳西门架,路段收费门架,实体门架,,36.954154,117.062811,在用,3D5411,3C5414
G000237011000420080,济乐青银立交-济乐济东立交门架,路段收费门架,实体门架,,36.930611,117.074554,在用,3D5412,3C5413
G000237011000510040,济乐济东立交-济乐青银立交门架,路段收费门架,实体门架,,36.931288,117.074036,在用,3C5413,3D5412
G000237011000610030,济阳西-济乐济东立交门架,路段收费门架,实体门架,,36.962149,117.059593,在用,3C5414,3D5411
G000237011000710020,济阳北-济阳西门架,路段收费门架,实体门架,,36.986999,117.057647,在用,3C5415,3D5410
G000237011000810010,临邑-济阳北门架,路段收费门架,实体门架,,37.075254,117.036308,在用,3C5416,3D540F
G000237011000910010,济阳西-济阳西虚收费门架,路段收费门架,虚拟门架,,36.97359202,117.0552368,在用,3C5418,3D5417
G000237011000920010,济阳西虚-济阳西收费门架,路段收费门架,虚拟门架,,36.97359125,117.0554214,在用,3D5417,3C5418
G000237004003810010,莱芜北-莱芜北虚收费门架,路段收费门架,虚拟门架,,36.30235049,117.650033,在用,3C152D,3D152C
G000237004003820010,莱芜北虚-莱芜北收费门架,路段收费门架,虚拟门架,,36.30246642,117.6498463,在用,3D152C,3C152D
G000237004003910010,莱芜高新-莱芜高新虚收费门架,路段收费门架,虚拟门架,,36.2536228,117.7246683,在用,3C152F,3D152E
G000237004003920010,莱芜高新虚-莱芜高新收费门架,路段收费门架,虚拟门架,,36.253729,117.7244623,在用,3D152E,3C152F
G000237005000210020,蒙阴虚-孟良崮虚门架,路段收费门架,实体门架,,35.678037,117.947502,在用,3C1813,3D1806
G000237005000310030,孟良崮-青驼虚门架,路段收费门架,实体门架,,35.523933,118.158031,在用,3C1814,3D1805
G000237005000410040,青驼-竹园枢纽虚门架,路段收费门架,实体门架,,35.392971,118.254201,在用,3C1815,3D1804
G000237005000510050,竹园枢纽-临沂北虚门架,路段收费门架,实体门架,,35.289569,118.249312,在用,3C1816,3D1803
G000237005000710070,临沂-京沪临北沂界虚门架,路段收费门架,实体门架,,35.118777,118.242116,在用,3C1818,3D1801
G000237005000820080,京沪临北沂界-临沂虚门架,路段收费门架,实体门架,,35.118386,118.241958,在用,3D1801,3C1818
G000237005001020100,临沂北-竹园枢纽虚门架,路段收费门架,实体门架,,35.289209,118.250398,在用,3D1803,3C1816
G000237005001120110,竹园枢纽-青驼虚门架,路段收费门架,实体门架,,35.392611,118.255287,在用,3D1804,3C1815
G000237005001220120,青驼-孟良崮虚门架,路段收费门架,实体门架,,35.523753,118.158573,在用,3D1805,3C1814
G000237005001320130,孟良崮-蒙阴虚门架,路段收费门架,实体门架,,35.677677,117.948588,在用,3D1806,3C1813
G000237005001510150,蒙阴-蒙阴虚门架,路段收费门架,虚拟门架,,35.68893018,117.9351338,停用,3C1808,3D1809
G000237005001620160,蒙阴虚-蒙阴门架,路段收费门架,虚拟门架,,35.68884342,117.9353085,停用,3D1809,3C1808
G000237005001710170,孟良崮-孟良崮虚门架,路段收费门架,虚拟门架,,35.53808466,118.1546385,停用,3C180A,3D180B
G000237005001820180,孟良崮虚-孟良崮门架,路段收费门架,虚拟门架,,35.53795969,118.1546381,停用,3D180B,3C180A
G000237005001910190,青驼-青驼虚门架,路段收费门架,虚拟门架,,35.41124463,118.260023,在用,3C180C,3D180D
G000237005002020200,青驼虚-青驼门架,路段收费门架,虚拟门架,,35.41099203,118.2600771,在用,3D180D,3C180C
G000237005002110210,临沂北-临沂北虚门架,路段收费门架,虚拟门架,,35.27412661,118.2592766,在用,3C180E,3D180F
G000237005002220220,临沂北虚-临沂北门架,路段收费门架,虚拟门架,,35.27402066,118.2592554,在用,3D180F,3C180E
G000237005002310230,临沂-临沂虚门架,路段收费门架,虚拟门架,,35.13761395,118.2550931,停用,3C1810,3D1811
G000237005002420240,临沂虚-临沂门架,路段收费门架,虚拟门架,,35.13750507,118.254812,停用,3D1811,3C1810
G000237005002510250,蒙阴西-蒙阴西虚收费门架,路段收费门架,虚拟门架,,35.735398,117.854807,备用,3C1713,3D1716
G000237005002620260,蒙阴西虚-蒙阴西收费门架,路段收费门架,虚拟门架,,35.735398,117.854807,备用,3D1716,3C1713
G000237005002710270,临沂枣园-临沂枣园虚收费门架,路段收费门架,虚拟门架,,35.212349,118.256612,备用,3C1717,3D171A
G000237005002820280,临沂枣园虚-临沂枣园收费门架,路段收费门架,虚拟门架,,35.212349,118.256612,备用,3D171A,3C1717
G000237005002910290,博莱枢纽-蒙阴西虚收费门架,路段收费门架,虚拟门架,,35.74789,117.827573,在用,3C171B,3D1819
G000237005003020300,蒙阴西虚-博莱枢纽收费门架,路段收费门架,实体门架,,35.74809,117.827535,停用,3D1819,3C171B
G000237005003110310,蒙阴西虚-蒙阴虚收费门架,路段收费门架,虚拟门架,,35.69959,117.91116,在用,3C181A,3D181B
G000237005003220320,蒙阴虚-蒙阴西虚收费门架,路段收费门架,实体门架,,35.699633,117.911385,停用,3D181B,3C181A
G000237005003310330,临沂北虚-临沂枣园虚收费门架,路段收费门架,实体门架,,35.253549,118.256967,在用,3C181C,3D181D
G000237005003420340,临沂枣园虚-临沂北虚收费门架,路段收费门架,实体门架,,35.253912,118.257276,在用,3D181D,3C181C
G000237005003510350,临沂枣园虚-临沂虚收费门架,路段收费门架,实体门架,,35.25326,118.25716,在用,3C181E,3D181F
G000237005003620360,临沂虚-临沂枣园虚收费门架,路段收费门架,实体门架,,35.186689,118.249241,在用,3D181F,3C181E
G000237006000210020,临沂南-临枣京沪枢纽虚门架,路段收费门架,实体门架,,34.995238,118.20557,在用,3C1913,3D1908
G000237006000310030,临枣京沪枢纽-兰陵虚门架,路段收费门架,实体门架,,34.880221,118.201732,备用,3C1914,3D1907
G000237006000410040,兰陵-郯城虚门架,路段收费门架,实体门架,,34.842051,118.206972,备用,3C1915,3D1906
G000237006000710060,红花埠-京沪鲁苏门架,省界收费门架,实体门架,省界出口,34.434916,118.35872,在用,3E1902,3F1903
G000237006000710070,红花埠-京沪鲁苏门架,省界收费门架,实体门架,省界出口,34.43282,118.363424,在用,3E1902,3F1903
G000237006000710210,红花埠-京沪鲁苏门架,省界收费门架,实体门架,省界出口,34.433453,118.356543,备用,3E1902,3F1903
G000237006000710220,红花埠-京沪鲁苏门架,省界收费门架,实体门架,省界出口,34.43023,118.36566,备用,3E1902,3F1903
G000237006000820080,京沪鲁苏-红花埠门架,省界收费门架,实体门架,省界入口,34.429614,118.37068,备用,3F1903,3E1902
G000237006000820090,京沪鲁苏-红花埠门架,省界收费门架,实体门架,省界入口,34.43195,118.365726,备用,3F1903,3E1902
G000237006000820230,京沪鲁苏-红花埠门架,省界收费门架,实体门架,省界入口,34.455353,118.343243,在用,3F1903,3E1902
G000237006000820240,京沪鲁苏-红花埠门架,省界收费门架,实体门架,省界入口,34.43023,118.36566,在用,3F1903,3E1902
G000237006001120110,郯城-兰陵虚门架,路段收费门架,实体门架,,34.841691,118.208058,在用,3D1906,3C1915
G000237006001220120,兰陵-临枣京沪枢纽虚门架,路段收费门架,实体门架,,34.878961,118.205533,备用,3D1907,3C1914
G000237006001320130,临枣京沪枢纽-临沂南虚门架,路段收费门架,实体门架,,34.995058,118.206113,在用,3D1908,3C1913
G000237006001510150,郯城-郯城虚门架,路段收费门架,虚拟门架,,34.64254032,118.2427307,在用,3C190A,3D190B
G000237006001620160,郯城虚-郯城门架,路段收费门架,虚拟门架,,34.64252096,118.2430172,在用,3D190B,3C190A
G000237006001710170,红花埠-红花埠虚门架,路段收费门架,虚拟门架,,34.44279655,118.3391389,在用,3C190C,3D190D
G000237006001820180,红花埠虚-红花埠门架,路段收费门架,虚拟门架,,34.44256431,118.3390035,在用,3D190D,3C190C
G000237006001910190,临沂南-临沂南虚门架,路段收费门架,虚拟门架,,35.02178619,118.2242851,在用,3C190E,3D190F
G000237006002020200,临沂南虚-临沂南门架,路段收费门架,虚拟门架,,35.02170732,118.2242504,在用,3D190F,3C190E
G000237006002110210,兰陵-兰陵虚门架,路段收费门架,虚拟门架,,34.86194791,118.2075765,停用,3C1910,3D1911
G000237006002220220,兰陵虚-兰陵门架,路段收费门架,虚拟门架,,34.86197544,118.2073909,停用,3D1911,3C1910
G000237006002310230,临沂商城-临沂商城虚收费门架,路段收费门架,虚拟门架,,35.064425,118.233481,备用,3C1919,3D191A
G000237006002420240,临沂商城虚-临沂商城收费门架,路段收费门架,虚拟门架,,35.064425,118.233481,备用,3D191A,3C1919
G000237006002510250,郯城南-郯城南虚收费门架,路段收费门架,虚拟门架,,34.57948,118.265989,备用,3C191B,3D191C
G000237006002620260,郯城南虚-郯城南收费门架,路段收费门架,虚拟门架,,34.57948,118.265989,备用,3D191C,3C191B
G000237006002910290,临沂商城虚-临沂南虚收费门架,路段收费门架,实体门架,,35.050979,118.227251,在用,3C1820,3D1821
G000237006003020300,临沂南虚-临沂商城虚收费门架,路段收费门架,实体门架,,35.051532,118.227766,在用,3D1821,3C1820
G000237006003110310,郯城虚-郯城南虚收费门架,路段收费门架,实体门架,,34.621152,118.249304,在用,3C191D,3D191E
G000237006003220320,郯城南虚-郯城虚收费门架,路段收费门架,实体门架,,34.621064,118.24946,在用,3D191E,3C191D
G000237006003310330,郯城南虚-红花埠虚收费门架,路段收费门架,实体门架,,34.46396,118.319691,在用,3C191F,3D1920
G000237006003420340,红花埠虚-郯城南虚收费门架,路段收费门架,实体门架,,34.463336,118.320245,在用,3D1920,3C191F
G000237007000310010,济阳-济阳虚收费门架,路段收费门架,虚拟门架,,36.84492525,117.1159255,在用,3C6516,3D6515
G000237007000320010,济阳虚-济阳收费门架,路段收费门架,虚拟门架,,36.84503145,117.1161322,在用,3D6515,3C6516
G000237008000120010,唐王枢纽-机场枢纽门架,路段收费门架,实体门架,,36.792111,117.247584,在用,3D6501,3C6510
G000237008000210150,遥墙-机场枢纽门架,路段收费门架,实体门架,,36.812733,117.190578,在用,3C6512,3D6511
G000237008000320030,遥墙-济阳门架,路段收费门架,实体门架,,36.817872,117.174033,在用,3D6503,3C650E
G000237008000420040,济阳-济乐青银立交门架,路段收费门架,实体门架,,36.843948,117.104177,在用,3D6504,3C650D
G000237008000520050,济乐青银立交-靳家门架,路段收费门架,实体门架,,36.843563,117.025777,备用,3D6505,3C650C
G000237008000620060,靳家-表白寺枢纽门架,路段收费门架,实体门架,,36.842479,116.984006,备用,3D6506,3C650B
G000237008000720070,表白寺枢纽-齐河东门架,路段收费门架,实体门架,,36.800801,116.874717,在用,3D6507,3C650A
G000237008000820080,齐河东-晏城枢纽门架,路段收费门架,实体门架,,36.786678,116.83629,在用,3D6508,3C6509
G000237008001110090,晏城枢纽-齐河东门架,路段收费门架,实体门架,,36.7855,116.833984,在用,3C6509,3D6508
G000237008001210100,齐河东-表白寺枢纽门架,路段收费门架,实体门架,,36.800131,116.873626,在用,3C650A,3D6507
G000237008001310110,表白寺枢纽-靳家门架,路段收费门架,实体门架,,36.842427,116.982289,备用,3C650B,3D6506
G000237008001410120,靳家-济乐青银立交门架,路段收费门架,实体门架,,36.843227,117.024595,备用,3C650C,3D6505
G000237008001510130,济乐青银立交-济阳门架,路段收费门架,实体门架,,36.843829,117.103031,备用,3C650D,3D6504
G000237008001610140,济阳-遥墙门架,路段收费门架,实体门架,,36.81805765,117.1722388,在用,3C650E,3D6503
G000237008001720020,机场枢纽-遥墙门架,路段收费门架,实体门架,,36.81178863,117.1933218,在用,3D6511,3C6512
G000237008001810160,机场枢纽-唐王枢纽门架,路段收费门架,实体门架,,36.79246936,117.2453163,在用,3C6510,3D6501
G000237008001910010,表白寺枢纽-齐河北枢纽门架,路段收费门架,实体门架,,36.841164,116.932825,在用,3C0B18,3D0B02
G000237008002220180,齐河北枢纽-表白寺枢纽门架,路段收费门架,实体门架,,36.84103,116.931303,在用,3D0B02,3C0B18
G000237008002310010,遥墙-遥墙虚收费门架,路段收费门架,虚拟门架,,36.8175236,117.1845575,在用,3C6514,3D6513
G000237008002320010,遥墙虚-遥墙收费门架,路段收费门架,虚拟门架,,36.81758325,117.1846827,在用,3D6513,3C6514
G000237008002410010,靳家-靳家虚收费门架,路段收费门架,虚拟门架,,36.84365388,117.0074129,在用,3C6518,3D6517
G000237008002420010,靳家虚-靳家收费门架,路段收费门架,虚拟门架,,36.84372711,117.0074598,在用,3D6517,3C6518
G000237008002510010,齐河东-齐河东虚收费门架,路段收费门架,虚拟门架,,36.79643755,116.8553718,在用,3C651A,3D6519
G000237008002520010,齐河东虚-齐河东收费门架,路段收费门架,虚拟门架,,36.79641436,116.8555063,在用,3D6519,3C651A
G000237009000110010,机场-机场枢纽门架,路段收费门架,实体门架,,36.834534,117.205331,备用,3C0D01,3D0D08
G000237009000210020,机场枢纽-小许家枢纽门架,路段收费门架,实体门架,,36.789282,117.203635,在用,3C0D02,3D0D07
G000237009000310030,小许家枢纽-郭店门架,路段收费门架,实体门架,,36.743237,117.207278,在用,3C0D03,3D0D06
G000237009000410040,郭店-济南东门架,路段收费门架,实体门架,,36.71035,117.210301,在用,3C0D04,3D0D05
G000237009000520050,济南东-郭店门架,路段收费门架,实体门架,,36.70964903,117.2103607,在用,3D0D05,3C0D04
